SOIL_TYPE,N_SOIL,P_SOIL,K_SOIL,TEMPERATURE,HUMIDITY,ph,CROP
Desert soils,74,43,23,25.95263264,61.89082199,6.325235159,Tomato
Desert soils,63,43,17,19.28889933,65.47050802,6.807487794,Bitter Gourd
Desert soils,99,36,20,20.57981887,65.34583901,6.671085817,Bottle Gourd
Desert soils,77,36,23,24.71417533,56.73426469,6.648725327,Brinjal
Desert soils,87,60,23,20.27317074,63.91281869,6.439071996,Cabbage
Desert soils,60,38,17,18.41932981,64.23580251,6.474476516,Cauliflower
Desert soils,94,54,17,23.39128187,61.74427165,5.871647806,Cucumber
Desert soils,95,38,22,19.84939404,61.24500053,5.730617109,Chholia
Desert soils,84,44,21,21.869274,61.91044947,5.850439831,Guar
Desert soils,77,58,19,22.8056033,56.50768935,5.791649933,Little Gourd
Desert soils,66,44,20,19.0781471,69.02298571,6.740000688,Paddy
Desert soils,63,35,16,22.02720976,65.35549924,6.272417541,Pigeon Pea
Desert soils,79,45,20,23.80546189,59.24537979,5.715208817,Ridge Gourd
Desert soils,72,60,25,18.52510753,69.0276233,5.773454729,Round gourd
Desert soils,67,51,24,23.50297882,61.32026065,5.584171461,Tomato
Desert soils,86,36,24,26.54986394,72.89187265,5.787268394,Cotton
Desert soils,76,48,18,19.29563411,69.63481219,5.77597783,Cotton
Desert soils,75,53,18,20.68899915,59.4375337,6.864793607,Cotton
Desert soils,81,45,23,19.32666088,68.034493,6.192360003,Cotton
Desert soils,73,45,21,24.60532218,73.58868502,6.636803223,Ladies Finger
Desert soils,71,35,24,22.27373646,59.52193158,5.826426917,Bitter Gourd
Desert soils,96,54,22,25.70196694,61.33450447,6.960358276,Bottle Gourd
Desert soils,99,39,18,19.20129357,68.30578978,6.11275104,Brinjal
Desert soils,62,48,20,21.70181447,60.47470519,6.708446922,Carrot
Desert soils,86,37,16,20.51716779,59.21235483,5.561510732,Cauliflower
Desert soils,94,50,19,23.30355338,73.62548442,5.873242491,Coriander
Desert soils,76,39,24,24.2547451,55.64709899,6.995843776,Cowpea
Desert soils,77,52,17,24.86374934,65.7420046,5.714799723,Cucumber
Desert soils,74,39,23,22.6265115,65.77472881,6.78073637,Drumstick
Desert soils,81,49,20,18.04185513,60.61494304,5.513697923,Elephat Yam
Desert soils,63,42,21,23.26237612,72.33125523,5.798423908,Ginger
Desert soils,99,38,21,22.88330922,71.59722446,6.352471866,Green Chilli
Desert soils,90,52,25,25.97482359,69.36385721,6.822586546,Seam
Desert soils,68,40,19,26.14384005,66.20569924,6.655426355,Leafy Vegetable
Desert soils,60,57,24,18.66116213,61.55327249,6.121294041,Lemon
Desert soils,71,52,18,25.10787449,55.97732754,5.790770203,Methi Leaves
Desert soils,61,59,17,23.33844615,59.24580604,6.47444292,Mint
Desert soils,88,38,15,25.08239719,65.92195844,6.455116637,Onion
Desert soils,65,60,22,25.36768364,72.52054555,6.606984086,Papaya
Desert soils,78,37,22,25.34217103,63.31801994,6.330554389,Peas cod
Desert soils,78,58,15,25.00933355,67.816568,6.528631266,Pigeon Pea
Desert soils,92,60,23,18.66746724,71.516474,5.721667141,Potato
Desert soils,79,59,17,20.37999665,63.73849998,6.644205485,Pumpkin
Desert soils,91,55,15,18.09300227,72.61024172,6.376651091,Raddish
Desert soils,76,51,18,26.16985907,71.96246617,6.247040422,Spinach
Desert soils,87,48,25,18.65396672,61.37879671,6.656730008,Sponge Gourd
Desert soils,71,60,22,26.07470121,59.37147589,6.2048017,Surat Beans
Desert soils,90,57,24,18.92851916,72.80086137,6.158860284,Sweet Potato
Desert soils,67,35,22,23.30546753,63.24648023,6.385684214,Tomato
Desert soils,60,54,19,18.74826712,62.49878458,6.417820493,Bitter Gourd
Desert soils,83,58,23,19.74213321,59.66263104,6.381201909,Bottle Gourd
Desert soils,83,57,19,25.73044432,70.74739256,6.877869005,Parval
Desert soils,40,72,77,17.02498456,16.98861173,7.485996067,Tinda
Desert soil,23,72,84,19.02061277,17.13159126,6.920251378,Banana
Desert soil,39,58,85,17.88776475,15.40589717,5.996932037,Zizyphus
Desert soil,22,72,85,18.86805647,15.65809214,6.391173589,Carrot
Desert soil,36,67,77,18.36952567,19.56381041,7.152811172,Coriander
Desert soil,32,73,81,20.45078582,15.40312102,5.988992796,Garlic
Desert soil,58,70,84,20.6543203,16.60820843,6.231049028,Ginger
Desert soil,59,70,84,17.3348681,18.74926979,7.550808267,Grapes
Desert soil,42,62,75,18.17912258,18.90426935,7.010570541,Green Chilli
Desert soil,28,74,81,18.01272266,18.30968112,8.753795334,Kinnow
Desert soil,58,66,79,20.99373558,19.33470387,8.718192847,Leafy Vegetable
Desert soil,43,66,79,19.46233971,15.22538951,7.976607593,Methi Leaves
Desert soil,58,63,81,19.81344531,14.69765308,6.515499549,Peas
Desert soil,23,62,85,18.97424756,19.5161216,8.490127142,Potato
Desert soil,27,62,77,18.19737048,14.71070537,6.576415562,Raddish
Desert soil,28,72,84,18.72963144,19.18197264,6.481783043,Spinach
Desert soil,50,56,76,20.99502153,19.8601304,7.966605025,Apple
Desert soil,39,71,84,20.28155898,16.39535215,8.140825437,Cabbage
Desert soil,25,78,76,17.48042641,15.7559405,7.228963452,Carrot
Desert soil,31,70,77,20.88818675,14.32313811,6.492546046,Cauliflower
Desert soil,26,80,83,17.08498521,16.14565756,7.528599957,Grapes
Desert soil,25,68,77,20.09340593,15.11279612,7.701446446,Green Chilli
Desert soil,31,78,76,17.57212145,14.99927489,8.519975748,Kinnow
Desert soil,60,68,83,19.12065218,18.43475844,6.620900869,Orange
Desert soil,59,62,83,18.57665902,19.22008229,8.104396058,Peas
Desert soil,22,67,78,17.16606398,14.42457525,6.204090835,Pomegranate
Desert soil,36,65,80,18.2872007,16.67921616,6.051091339,Potato
Desert soil,59,60,84,19.03025305,18.66725565,7.690962338,Raddish
Desert soil,54,77,85,17.1418614,17.0662427,7.829211144,Tomato
Desert soil,43,68,81,17.47809436,17.93253975,6.761599706,Banana
Desert soil,28,76,82,20.56601874,14.25803981,6.654425315,Bottle Gourd
Desert soil,42,79,85,17.22385224,15.82069268,6.129533877,Cabbage
Desert soil,32,60,83,19.69141713,19.44225438,8.829273328,Carrot
Desert soil,22,78,76,17.84851658,19.09172907,8.621662982,Cauliflower
Desert soil,31,79,75,18.8202251,16.1074793,8.204862075,Cucumber
Desert soil,28,58,81,17.47500984,16.54314829,6.18042747,Grapes
Desert soil,57,58,77,18.72649425,17.58406365,7.978996755,Onion
Desert soil,49,55,78,18.65580107,16.17772668,7.863113671,Orange
Desert soil,46,76,77,18.2356751,19.68538502,6.967843048,Papaya
Desert soil,54,61,77,18.81198127,15.21618225,6.206582193,Peas
Desert soil,38,60,76,18.65054116,17.80852431,8.868741443,Pomegranate
Desert soil,59,55,79,20.36720401,16.89574311,8.766128654,Potato
Desert soil,36,76,75,18.38120357,16.63805158,8.736337905,Raddish
Desert soil,57,68,81,17.17012591,17.30457712,8.081095263,Spinach
Desert soil,35,66,81,19.37101121,15.77458129,6.138243973,Tinda
Desert soil,35,64,78,17.92845928,14.27327988,7.496645259,Tomato
Desert soil,52,60,79,19.45339934,18.23490739,8.380185271,Potato
Desert soil,27,76,83,19.12829388,14.92241479,6.289614016,Apple
Desert soil,57,60,84,19.1034283,17.26184541,6.586777189,Banana
Desert soil,52,68,78,17.48504075,16.96070581,6.89655198,Zizyphus
Desert soil,43,79,79,19.40751744,18.98030507,7.806747656,Ladies Finger
Desert soil,44,74,85,20.18649426,19.63719995,7.150681303,Carrot
Desert soil,24,55,78,17.30287885,15.15405941,6.64919573,Sapota
Desert soil,29,77,75,17.50361137,15.48083156,7.778591618,Cucumber
Desert soil,20,60,78,18.17234999,14.70085967,6.358740355,Ginger
Desert soil,56,67,78,17.57445618,16.71826572,8.255450758,Grapes
Desert soil,37,66,85,20.93175255,18.91295403,6.456148474,Kinnow
Desert soil,49,71,76,19.71098332,17.63879418,6.613072145,Orange
Desert soil,59,69,80,19.07937684,17.86754927,8.165359297,Pomegranate
Desert soil,20,79,77,18.54988627,16.02542689,7.64867466,Potato
Desert soil,24,56,85,18.19903647,17.41333199,6.545888558,Raddish
Desert soil,51,72,75,18.88852533,14.99451145,7.104224797,Tomato
Desert soil,57,73,85,18.49311205,14.72115044,7.358099622,Cauliflower
Desert soil,22,64,82,19.48974337,17.17260319,6.4740245,Onion
Desert soil,52,73,79,17.25769499,18.74943955,7.840339389,Potato
Desert soil,29,75,75,19.62416326,18.71483156,7.064790365,Tomato
Sandy loam,44,59,78,20.67526473,19.85388984,7.599033472,Apple
Sandy loam,41,69,82,20.02381489,16.63294455,6.715587232,Bottle Gourd
Sandy loam,52,56,85,20.1187446,14.44228303,6.81712422,Brinjal
Sandy loam,34,76,80,20.65691793,15.84572566,7.985417393,Cabbage
Sandy loam,42,74,83,19.2582557,14.2804191,7.545258424,Capsicum
Sandy loam,34,71,79,17.927806,15.85622899,7.728998197,Carrot
Sandy loam,27,73,79,19.16288268,15.83500655,7.354973451,Cauliflower
Sandy loam,30,70,79,20.26942271,19.96978871,7.313122235,Coriander
Sandy loam,57,57,75,17.09104223,18.25142068,7.785039076,Kinnow
Sandy loam,27,79,82,17.06579293,17.54024066,6.307004923,Peas
Sandy loam,32,71,85,20.62767492,14.44008871,6.403982316,Pomegranate
Sandy loam,31,76,82,20.8248451,17.85057083,7.599279991,Potato
Sandy loam,33,75,84,19.46210401,18.72831993,7.217018459,Raddish
Sandy loam,47,80,77,17.18248372,16.42891834,7.561108006,Spinach
Sandy loam,54,62,80,17.48911699,16.39055394,7.489545074,Tomato
Sandy loam,47,79,78,17.48395377,14.76014523,6.609696734,Apple
Sandy loam,35,57,83,19.48316794,17.44534641,7.476800943,Banana
Sandy loam,53,73,77,19.71359733,18.09665739,7.325451279,Ladies Finger
Sandy loam,45,61,78,19.48649305,16.06240074,6.489389282,Bottle Gourd
Sandy loam,37,78,79,19.95264829,14.82633099,7.786366322,Brinjal
Sandy loam,30,75,81,19.41789736,16.80472243,6.408437886,Cabbage
Sandy loam,37,55,82,19.45591848,18.02235902,8.423873703,Capsicum
Sandy loam,53,65,76,20.19137759,16.41998269,8.719960893,Carrot
Sandy loam,22,60,85,18.8392908,14.74071856,7.811997977,Cauliflower
Sandy loam,60,61,78,20.71219282,19.83643308,6.317153205,Coriander
Sandy loam,42,67,77,18.99424448,15.9362937,7.114405288,French Beans
Sandy loam,39,76,76,19.96837462,15.57324389,8.135900726,Ginger
Sandy loam,35,63,76,17.81564548,17.60756635,7.714153038,Grapes
Sandy loam,30,65,82,20.71424384,15.27824066,7.103798069,Green Chilli
Sandy loam,57,56,78,17.34150229,18.75626255,8.861479668,Kinnow
Sandy loam,48,65,78,17.43732714,14.33847406,7.861128148,Lemon
Sandy loam,36,56,83,18.89780215,19.76182946,7.4526709,Mushrooms
Sandy loam,40,58,75,18.59190771,14.77959596,7.168096055,Methi Leaves
Sandy loam,49,69,82,18.31561493,15.36143547,7.26311855,Sweet Lime
Sandy loam,13,60,25,17.13692774,20.59541693,5.68597166,Onion
Sandy loam,25,70,16,19.63474332,18.90705639,5.759237003,Orange
Sandy loam,31,55,22,22.91350245,21.33953114,5.873171894,Papaya
Sandy loam,40,64,16,16.43340342,24.24045875,5.926676985,Peas cod
Sandy loam,2,61,20,22.13974653,23.02251117,5.95561668,Pineapple
Sandy loam,26,65,22,17.84806561,18.77621951,5.949949081,Pomegranate
Sandy loam,17,57,21,19.88394011,20.31564139,5.789214289,Potato
Sandy loam,26,80,18,19.32509638,23.3334788,5.581021521,Raddish
Sandy loam,17,59,17,18.4167001,23.42829938,5.689858133,Spinach
Sandy loam,27,59,22,21.81167649,23.20591245,5.794158504,Tomato
Sandy loam,28,58,24,19.72702528,18.28173015,5.748190463,Apple
Sandy loam,25,57,19,17.15432954,19.87070659,5.566522896,Zizyphus
Sandy loam,28,80,17,19.62207826,18.67170854,5.809419584,Ladies Finger
Sandy loam,25,60,22,21.63149148,21.17919701,5.887263027,Bottle Gourd
Sandy loam,12,78,23,16.06522754,18.72479695,5.99812453,Brinjal
Sandy loam,6,77,25,20.61162204,24.36314135,5.792744849,Cabbage
Sandy loam,22,79,17,21.42451099,20.39659714,5.912289889,Capsicum
Sandy loam,27,80,15,19.07096165,21.21092266,5.788386951,Carrot
Sandy loam,10,55,23,21.18853178,19.63438599,5.728233081,Cauliflower
Sandy loam,23,65,20,23.0429097,22.42610972,5.833940084,Cucumber
Sandy loam,19,78,16,20.65375833,23.10538637,5.967533236,French Beans
Sandy loam,19,65,25,18.09551014,18.29318436,5.625096446,Ginger
Sandy loam,22,70,19,18.23775702,21.07643273,5.515615023,Grapes
Sandy loam,37,64,22,17.48189735,18.8251973,5.954665349,Green Chilli
Sandy loam,11,71,17,19.9191786,21.47324158,5.74644777,Guava
Sandy loam,18,79,20,20.27514686,23.2353604,5.877347515,Kinnow
Sandy loam,21,63,17,15.77370214,19.2303162,5.979973965,Lemon
Sandy loam,24,80,22,16.71170642,19.17651433,5.635993966,Mushrooms
Sandy loam,34,60,22,17.66148158,18.15302753,5.635231778,Sweet Lime
Sandy loam,16,75,21,18.50692825,23.61670065,5.679224346,Onion
Sandy loam,17,77,23,24.51324787,20.81527638,5.670062975,Orange
Sandy loam,37,72,18,18.87614998,24.54038287,5.724242065,Papaya
Sandy loam,40,73,20,21.59343016,20.31871249,5.811314232,Peas
Sandy loam,9,77,17,20.12373284,24.45202552,5.783425416,Pineapple
Sandy loam,1,62,23,15.43546065,18.37477907,5.607808432,Pomegranate
Sandy loam,33,59,22,22.64236876,21.59396123,5.946999529,Potato
Sandy loam,23,59,19,21.98560799,24.87304788,5.852046999,Pumpkin
Sandy loam,6,62,22,20.53052663,18.09224048,5.824090984,Raddish
Sandy loam,25,63,20,15.78601387,21.14544088,5.502999119,Spinach
Sandy loam,7,79,23,19.6365349,19.68751084,5.821649914,Tomato
Sandy loam,8,72,17,20.57341244,19.7520218,5.711439256,Turnip
Sandy loam,27,64,15,20.16080524,24.84207559,5.514927264,Banana
Sandy loam,28,66,23,21.53989176,24.25386207,5.99616119,Ladies Finger
Sandy loam,32,57,18,15.53834801,23.75560241,5.695422863,Bottle Gourd
Sandy loam,27,56,22,19.91853092,20.70099804,5.833010958,Brinjal
Sandy loam,17,77,24,20.76952209,18.93146941,5.568456899,Cabbage
Sandy loam,0,65,15,23.46168338,23.22197648,5.645435626,Capsicum
Sandy loam,13,72,21,24.32116642,21.0278674,5.821194486,Carrot
Sandy loam,34,60,23,20.12574053,24.96969858,5.659254981,Cauliflower
Sandy loam,9,80,19,21.80619564,18.57086554,5.945465949,Coriander
Sandy loam,11,72,20,19.52226241,24.92607153,5.951177452,Cucumber
Sandy loam,3,67,24,17.00067625,19.90790546,5.520880014,French Beans
Sandy loam,35,69,23,16.78791503,24.96881755,5.578410206,Garlic
Sandy loam,3,77,25,24.84906168,22.89464642,5.608165195,Ginger
Sandy loam,23,62,19,16.51783455,20.4555596,5.609435128,Grapes
Sandy loam,22,71,17,18.15300153,19.38602098,5.509295379,Green Chilli
Sandy loam,31,79,25,23.18864385,22.3104551,5.902033406,Guava
Sandy loam,34,59,18,23.38002569,21.98879437,5.744117663,Kinnow
Sandy loam,12,63,17,18.358923,19.37703396,5.717143397,Lemon
Sandy loam,27,56,20,19.25975367,20.51346956,5.542690119,Onion
Sandy loam,7,63,24,22.95458237,24.03553105,5.858617867,Papaya
Sandy loam,24,67,22,20.120043,22.89845607,5.618844277,Peas
Sandy loam,11,71,24,21.14011423,22.7182355,5.606620346,Potato
Sandy loam,37,74,15,24.92360104,18.22590825,5.582178402,Pumpkin
Sandy loam,25,76,24,15.33042636,24.91506728,5.56503533,Raddish
Sandy loam,34,66,17,18.81097271,21.27833035,5.889614577,Spinach
Sandy loam,20,69,15,23.44260668,22.77255917,5.934136378,Squash
Sandy loam,37,65,16,22.8352024,18.97267518,5.683548308,Tomato
Alluvial soil,18,74,15,24.9035819,22.27512704,5.70836603,Cauliflower
Alluvial soil,4,67,25,23.78709569,24.35679348,5.948164454,Cucumber
Alluvial soil,37,56,25,22.05592283,19.60379304,5.774755144,Knool Khol
Red soil,5,59,15,18.87492997,20.18238348,5.97229163,Beans
Red soil,11,61,21,18.62328774,23.02410338,5.532100554,Beetroot
Red soil,22,80,20,23.00884744,18.86880997,5.669560726,Ladies Finger
Red soil,12,61,19,19.33162606,24.13995025,5.655726817,Bitter Gourd
Red soil,5,74,21,16.24469193,21.35793891,5.591704014,Brinjal
